Date,,Open,High,Low,Close,Shares Traded
09-Feb-2001,,1395.55,1416.3,1395.55,1405.7,0
12-Feb-2001,,1405.7,1416.45,1397.6,1402.2,0
13-Feb-2001,,1402.2,1412.7,1386.65,1391.2,0
14-Feb-2001,,1393.15,1396.35,1380.65,1393.35,0
15-Feb-2001,,1393.35,1421,1393.35,1416.7,0
16-Feb-2001,,1415.85,1422.95,1376.15,1381.35,0
19-Feb-2001,,1381.4,1392.05,1369.45,1384.8,0
20-Feb-2001,,1384.85,1392.8,1380.4,1383.85,0
21-Feb-2001,,1383.9,1389.55,1364.25,1370.1,0
22-Feb-2001,,1370.05,1370.05,1335.65,1355.1,0
23-Feb-2001,,1355.1,1362.8,1314.1,1320.45,0
26-Feb-2001,,1320.9,1325.2,1299.05,1312.4,0
27-Feb-2001,,1312.45,1324,1281.9,1295.55,0
28-Feb-2001,,1295.3,1362.25,1294.6,1351.4,0
01-Mar-2001,,1351.75,1399.55,1345.05,1358.05,0
02-Mar-2001,,1360.25,1386.75,1301.8,1306.35,0
05-Mar-2001,,1304.85,1316.45,1259.1,1271.45,0
07-Mar-2001,,1272.8,1311.1,1249.45,1290.5,0
08-Mar-2001,,1290.85,1307.95,1279.3,1292.85,0
09-Mar-2001,,1292.7,1292.7,1219.35,1254.75,0
12-Mar-2001,,1253.25,1253.25,1193.95,1197.95,0
13-Mar-2001,,1197.85,1201.15,1098.75,1124.7,0
14-Mar-2001,,1125.15,1200.25,1114.6,1194.2,0
15-Mar-2001,,1191.6,1219.7,1170.7,1217.15,0
16-Mar-2001,,1216.9,1233.4,1179.6,1193.55,0
19-Mar-2001,,1192.85,1201.7,1173.15,1186.7,0
20-Mar-2001,,1186.8,1193.35,1162.35,1170.95,0
21-Mar-2001,,1168.8,1212.2,1156.15,1207.1,0
22-Mar-2001,,1206.45,1218.35,1184.95,1187.55,0
23-Mar-2001,,1187.6,1196.55,1139.65,1161.3,0
26-Mar-2001,,1159.85,1165.65,1147.5,1161.5,0
27-Mar-2001,,1161.6,1182.7,1157.25,1177.75,0
28-Mar-2001,,1177.55,1209.6,1177.55,1206.2,0
29-Mar-2001,,1204.9,1210.1,1185,1195.1,0
30-Mar-2001,,1195.05,1195.25,1144.65,1148.2,0
02-Apr-2001,,1148.1,1148.1,1094.35,1138.1,0
03-Apr-2001,,1136.65,1153.1,1128.1,1149.25,0
04-Apr-2001,,1146.1,1146.15,1120.35,1136.65,0
06-Apr-2001,,1137.55,1171.85,1133.05,1139.6,0
09-Apr-2001,,1137.6,1138.55,1116.1,1128.35,0
10-Apr-2001,,1129.1,1129.75,1093.05,1103.05,0
11-Apr-2001,,1104.9,1116.85,1056.1,1066.8,0
12-Apr-2001,,1066.75,1066.75,1001.8,1024.9,0
16-Apr-2001,,1024,1049.4,1000.1,1044.6,0
17-Apr-2001,,1044.85,1072.9,1037.7,1067,0
18-Apr-2001,,1066.5,1106.3,1063.05,1103.4,0
19-Apr-2001,,1103.6,1159.3,1103.6,1144.45,0
20-Apr-2001,,1145.75,1156.45,1120.6,1144,0
23-Apr-2001,,1144.05,1162.05,1137.3,1149.75,0
24-Apr-2001,,1149.6,1149.6,1128.4,1146.3,0
25-Apr-2001,,1146.5,1162.85,1142.3,1155.35,0
26-Apr-2001,,1155.4,1170.2,1138.85,1143.75,0
27-Apr-2001,,1143.65,1143.65,1078.1,1101.3,0
30-Apr-2001,,1101.45,1127.9,1101.45,1125.25,0
02-May-2001,,1125.45,1150.65,1125.25,1137.2,0
03-May-2001,,1137.15,1139.85,1117.7,1122.05,0
04-May-2001,,1121.45,1131.95,1113.65,1130.05,0
07-May-2001,,1130.05,1145.4,1130.05,1139.2,0
08-May-2001,,1139.25,1151.95,1138.2,1148.95,0
09-May-2001,,1149.9,1164.3,1145.25,1149.25,0
10-May-2001,,1149.1,1151.6,1139.25,1144.95,0
11-May-2001,,1144.1,1146.85,1136.9,1140.5,0
14-May-2001,,1140.45,1146.25,1134.05,1140.8,0
15-May-2001,,1140.75,1147.75,1096.25,1145.3,0
16-May-2001,,1147.1,1163.15,1146.05,1151.15,0
17-May-2001,,1151.2,1179,1150.6,1174.95,0
18-May-2001,,1175,1187.65,1169.2,1172.8,0
21-May-2001,,1172.95,1182.65,1166.7,1169.45,0
22-May-2001,,1169.5,1176.2,1165.65,1168.1,0
23-May-2001,,1168.25,1181.8,1167,1179.1,0
24-May-2001,,1179.1,1190.15,1177.55,1181.85,0
25-May-2001,,1181.95,1188.5,1171.35,1174.9,0
28-May-2001,,1174.95,1194.5,1174.45,1193.2,0
29-May-2001,,1193.25,1202.05,1193.25,1198.45,0
30-May-2001,,1199.5,1207,1173.75,1177.55,0
31-May-2001,,1177.5,1177.5,1154.9,1167.9,0
01-Jun-2001,,1168.1,1175.8,1146.9,1148.05,0
04-Jun-2001,,1148,1154.45,1125.35,1127.2,0
05-Jun-2001,,1127.15,1130.65,1106.8,1115.6,0
06-Jun-2001,,1117.5,1132.95,1114,1115.7,0
07-Jun-2001,,1115.05,1116.1,1095.45,1112.35,0
08-Jun-2001,,1112.45,1128.9,1112.45,1126.6,0
11-Jun-2001,,1126.55,1134.8,1122.35,1131.1,0
12-Jun-2001,,1131.05,1133.3,1121.8,1127.15,0
13-Jun-2001,,1127.1,1132.95,1126.9,1129,0
14-Jun-2001,,1128.95,1128.95,1110.15,1112.75,0
15-Jun-2001,,1112.7,1112.7,1084.2,1087.75,0
18-Jun-2001,,1087.75,1087.75,1064.4,1078.3,0
19-Jun-2001,,1078.25,1099.7,1075.45,1096.65,0
20-Jun-2001,,1096.35,1100.55,1084.7,1097.6,0
21-Jun-2001,,1097.9,1102.45,1090.25,1095.2,0
22-Jun-2001,,1095.85,1097.8,1081.3,1087.65,0
25-Jun-2001,,1087.1,1087.1,1064.4,1067,0
26-Jun-2001,,1066.4,1099.8,1060.05,1096.6,0
27-Jun-2001,,1096.6,1102.8,1086.75,1096.1,0
28-Jun-2001,,1095.85,1101,1090.2,1094,0
29-Jun-2001,,1094.05,1114.35,1091.05,1107.9,0
02-Jul-2001,,1108.35,1119.55,1097.95,1100.75,0
03-Jul-2001,,1097.4,1097.4,1066.05,1069.8,0
04-Jul-2001,,1068.05,1074.6,1062.2,1067.95,0
05-Jul-2001,,1068.35,1079.35,1066.95,1069.75,0
06-Jul-2001,,1069.15,1069.15,1059.6,1065.1,0
09-Jul-2001,,1064.8,1064.8,1052.1,1059.5,0
10-Jul-2001,,1059.95,1078.1,1059.25,1072.05,0
11-Jul-2001,,1072.15,1088.5,1068.35,1083.65,0
12-Jul-2001,,1083.8,1109,1083.8,1105.5,0
13-Jul-2001,,1105.7,1127.15,1103.3,1110.45,0
16-Jul-2001,,1110.35,1116.7,1102.45,1105.55,0
17-Jul-2001,,1103.55,1106.05,1092.5,1103.1,0
18-Jul-2001,,1103.1,1108.45,1088.1,1091.95,0
19-Jul-2001,,1091.35,1091.35,1079.55,1085.9,0
20-Jul-2001,,1085.95,1089.95,1072.75,1077.7,0
23-Jul-2001,,1076.15,1076.15,1063.4,1070.65,0
24-Jul-2001,,1065.95,1074.75,1064.5,1072.55,0
25-Jul-2001,,1072.45,1073.95,1062.15,1064.2,0
26-Jul-2001,,1063.9,1066.55,1050.15,1053.4,0
27-Jul-2001,,1053.2,1061.2,1046.9,1051.7,0
30-Jul-2001,,1051.45,1062.8,1050.9,1061.45,0
31-Jul-2001,,1061.45,1076.35,1053.6,1072.85,0
01-Aug-2001,,1073,1077.7,1059.75,1063.15,0
02-Aug-2001,,1064.25,1070.05,1059.55,1066,0
03-Aug-2001,,1066.4,1077.55,1066.2,1074.6,0
06-Aug-2001,,1074.2,1082.4,1072.55,1075.25,0
07-Aug-2001,,1074.35,1079.3,1070.2,1072.1,0
08-Aug-2001,,1071.75,1072.1,1059.55,1068,0
09-Aug-2001,,1068.1,1072.6,1061.4,1070.65,0
10-Aug-2001,,1070.65,1076.7,1069.05,1071.15,0
13-Aug-2001,,1070.95,1081.4,1061.05,1063,0
14-Aug-2001,,1063.05,1076.6,1062.2,1075.5,0
16-Aug-2001,,1075.2,1083.7,1072.95,1078.95,0
17-Aug-2001,,1079,1084,1067.6,1069.2,0
20-Aug-2001,,1062.5,1067.95,1061,1063.75,0
21-Aug-2001,,1063.65,1071.2,1062.3,1068.7,0
23-Aug-2001,,1068.7,1079,1065.7,1071.5,0
24-Aug-2001,,1071.5,1076.7,1064.9,1069.15,0
27-Aug-2001,,1064.05,1078.35,1064.05,1072.55,0
28-Aug-2001,,1072.35,1076.85,1069.6,1070.65,0
29-Aug-2001,,1070.55,1074.5,1066.45,1067.45,0
30-Aug-2001,,1068.3,1070.25,1061.9,1064.15,0
31-Aug-2001,,1064.1,1064.1,1051.75,1053.75,0
03-Sep-2001,,1054.65,1059.9,1046.35,1048.05,0
04-Sep-2001,,1048.2,1053.25,1043.3,1048.2,0
05-Sep-2001,,1047.25,1051.55,1043.3,1045,0
06-Sep-2001,,1047.7,1048.2,1033.4,1036.1,0
07-Sep-2001,,1036.35,1037.35,1026.45,1035.2,0
10-Sep-2001,,1035,1045.3,1031.45,1033.4,0
11-Sep-2001,,1033.35,1037.45,1020.7,1023.4,0
12-Sep-2001,,1023.25,1023.25,957.95,982.2,0
13-Sep-2001,,982.2,993.05,969,971.7,0
14-Sep-2001,,972.05,974.5,902.7,919.7,0
17-Sep-2001,,916.15,916.15,861.05,872.25,0
18-Sep-2001,,872.15,910.35,868.5,900.2,0
19-Sep-2001,,899.7,915,899.7,912.2,0
20-Sep-2001,,910.2,910.35,873.7,898.8,0
21-Sep-2001,,903.75,903.75,849.95,854.2,0
24-Sep-2001,,853,878.6,853,869.05,0
25-Sep-2001,,869.15,893.35,858.85,861.4,0
26-Sep-2001,,861.35,877,859.2,873.7,0
27-Sep-2001,,873.15,893.05,868.3,890,0
28-Sep-2001,,891.75,922.55,891,913.85,0
01-Oct-2001,,914.65,919.2,905.5,910.1,0
03-Oct-2001,,910.05,915.05,896.25,899.65,0
04-Oct-2001,,899.65,914.25,899.65,911.65,0
05-Oct-2001,,911.6,919.75,903.05,914.6,0
08-Oct-2001,,911.2,913.05,884.65,901.95,0
09-Oct-2001,,903,914.3,902.55,912.7,0
10-Oct-2001,,915.5,942.8,912.9,940.35,0
11-Oct-2001,,940.45,959.75,940.45,954.9,0
12-Oct-2001,,958.4,969.9,956.85,960.4,0
15-Oct-2001,,963.65,966.15,954.35,963.4,0
16-Oct-2001,,963.4,973.25,962.5,971.25,0
17-Oct-2001,,971.95,989.05,971.95,986.25,0
18-Oct-2001,,984.2,984.5,969.35,972.05,0
19-Oct-2001,,972.2,981,970.85,976.65,0
22-Oct-2001,,980.05,994.15,973.2,976.4,0
23-Oct-2001,,976.75,994.15,976.55,993.2,0
24-Oct-2001,,992.95,1000.95,987.4,991.2,0
25-Oct-2001,,991.25,998,979.95,983.2,0
29-Oct-2001,,983.15,996.6,974.05,977.45,0
30-Oct-2001,,977.35,977.35,960.5,963.1,0
31-Oct-2001,,962.85,976.4,959.35,971.9,0
01-Nov-2001,,973.55,997.3,973.55,994,0
02-Nov-2001,,994.25,1009.55,991.95,997.6,0
05-Nov-2001,,997.25,1001.3,987.85,991.05,0
06-Nov-2001,,991.2,1007.4,991.15,1001.9,0
07-Nov-2001,,1001.95,1014.1,984.45,987.5,0
08-Nov-2001,,987.5,1001.15,985.75,997.7,0
09-Nov-2001,,999.1,1008.95,999.1,1004.05,0
12-Nov-2001,,1004.55,1014.25,1003.6,1010.9,0
13-Nov-2001,,1010.95,1013.25,999.85,1005.4,0
14-Nov-2001,,1005.45,1017.2,1004.7,1015.8,0
15-Nov-2001,,1016.05,1038.35,1015.15,1035.7,0
19-Nov-2001,,1034.2,1072,1032.85,1068.15,0
20-Nov-2001,,1067.3,1082.4,1046.15,1050.2,0
21-Nov-2001,,1050.4,1064.85,1046.3,1056.35,0
22-Nov-2001,,1056.45,1075.9,1056.45,1062.45,0
23-Nov-2001,,1063.05,1075.05,1057.3,1059,0
26-Nov-2001,,1059.25,1084.65,1059.25,1080.6,0
27-Nov-2001,,1087.6,1097.6,1071.05,1076.05,0
28-Nov-2001,,1076.15,1082.3,1067.65,1070.8,0
29-Nov-2001,,1070.3,1071,1063,1067.15,0
03-Dec-2001,,1067.2,1074.5,1063.25,1065.4,0
04-Dec-2001,,1066.05,1082.6,1065.65,1077.7,0
05-Dec-2001,,1077.95,1107.15,1077.95,1104.55,0
06-Dec-2001,,1105.1,1132.65,1105.1,1110.45,0
07-Dec-2001,,1110.9,1122.65,1109.65,1112.3,0
10-Dec-2001,,1112.15,1123.55,1112.15,1115.25,0
11-Dec-2001,,1112.15,1122.85,1107.7,1110.2,0
12-Dec-2001,,1110.65,1121.55,1104.75,1107.65,0
13-Dec-2001,,1107.75,1114.15,1069.95,1098.75,0
14-Dec-2001,,1098.65,1102.9,1082.75,1087.85,0
18-Dec-2001,,1089.9,1098,1071.35,1082.3,0
19-Dec-2001,,1082.5,1086.35,1057.1,1060.75,0
20-Dec-2001,,1060.45,1064.8,1047.5,1062,0
21-Dec-2001,,1061.8,1061.8,1043.65,1050.85,0
24-Dec-2001,,1051,1055,1032.6,1048.5,0
26-Dec-2001,,1048.9,1058.3,1030.5,1034.25,0
27-Dec-2001,,1033.85,1037.7,1017.35,1020,0
28-Dec-2001,,1019.9,1036.35,1010.45,1033.8,0
31-Dec-2001,,1033.9,1062.3,1033.9,1059.05,0
01-Jan-2002,,1058.85,1071.15,1052.05,1055.3,0
02-Jan-2002,,1054.95,1065.25,1054.1,1060.75,0
03-Jan-2002,,1063.45,1074.85,1062.9,1072.25,0
04-Jan-2002,,1072.4,1099.25,1072.4,1096.2,0
07-Jan-2002,,1093.05,1111.55,1093.05,1100.15,0
08-Jan-2002,,1100.55,1114.55,1097.9,1109.9,0
09-Jan-2002,,1110,1119.4,1098.7,1102.8,0
10-Jan-2002,,1098.8,1105.35,1093.6,1098.2,0
11-Jan-2002,,1098.15,1105.9,1073.45,1088.55,0
14-Jan-2002,,1089.45,1118.5,1089.45,1109.8,0
15-Jan-2002,,1109.45,1112.6,1090.2,1094.15,0
16-Jan-2002,,1094.15,1104.8,1085.3,1090.3,0
17-Jan-2002,,1090.25,1116.05,1078.95,1109.2,0
18-Jan-2002,,1109.55,1121.75,1089.05,1093.15,0
21-Jan-2002,,1093.25,1099.8,1082.65,1091.35,0
22-Jan-2002,,1091.35,1099,1090,1092.85,0
23-Jan-2002,,1092.85,1096.95,1087.5,1089.4,0
24-Jan-2002,,1089.6,1098.6,1081.7,1085.3,0
25-Jan-2002,,1085.85,1089.7,1077,1080.1,0
28-Jan-2002,,1083.25,1088.75,1068.7,1071.35,0
29-Jan-2002,,1071.35,1076.45,1068.85,1071.65,0
30-Jan-2002,,1072.85,1072.85,1058.8,1067.45,0
31-Jan-2002,,1067.65,1082,1067.65,1075.4,0
01-Feb-2002,,1076.95,1088.05,1076.95,1081.65,0
04-Feb-2002,,1083.05,1086.95,1074.15,1076.9,0
05-Feb-2002,,1076.25,1081.2,1069.4,1074.25,0
06-Feb-2002,,1074.4,1117.1,1074,1113.1,0
07-Feb-2002,,1114.85,1130.95,1104.3,1110.45,0
08-Feb-2002,,1112.8,1131.85,1104.45,1123.75,0
11-Feb-2002,,1124.85,1144.15,1124.85,1131.55,0
12-Feb-2002,,1131.95,1143.3,1125.55,1129.5,0
13-Feb-2002,,1129.8,1142.3,1129.6,1135.1,0
14-Feb-2002,,1135.5,1151.65,1133.85,1150,0
15-Feb-2002,,1150.65,1164.1,1150.3,1159.95,0
18-Feb-2002,,1159.85,1177.05,1156.7,1172.85,0
19-Feb-2002,,1172.85,1178.1,1155.1,1158.9,0
20-Feb-2002,,1158.45,1158.45,1134.65,1145.95,0
21-Feb-2002,,1146.05,1158.05,1146.05,1149.85,0
22-Feb-2002,,1149.85,1165.7,1145.5,1163.5,0
