c,gamma,dist+plus_actual,dist_minus_act,pred_plus_train,pred_minus_train,pred_plus_test,pred_minus_test,pred_tain_accuracy_tot,pred_train_acc_plus,pred_train_acc_minus,pre_test_acc_tot,pred_test_acc_plus,pred_test_acc_minus,ret_pt_tot_train,ret_pt_tot_plus,ret_pt_train_minus,ret_pt_cor_train,ret_pt_inc_train,rt_pt_tot_test,rt_pt_plus_test,rt_pt_minus_test,rt_pt_cor_test,ret_pt_inc_test
0.5,0.037037037,54.0833333333,45.9166666667,74.7747747748,25.2252252252,80.0995024876,19.9004975124,58.3583583584,57.9651941098,59.5238095238,54.7263681592,57.1428571429,45,0.1648617463,0.1272608755,0.2760295384,1.0985244996,-1.1373520938,0.1006748174,0.0993822913,0.1058772353,1.1029856266,-1.1109096771
0.5,0.0357142857,54.0833333333,45.9166666667,77.2772772773,22.7227227227,81.592039801,18.407960199,57.2572572573,56.9948186528,58.1497797357,54.2288557214,56.7073170732,43.2432432432,0.126433843,0.0982638671,0.2219399457,1.0860255554,-1.1530217734,0.0997454655,0.0969948111,0.1119375554,1.1122478813,-1.0998497878
0.5,0.0344827586,54.0833333333,45.9166666667,80.980980981,19.019019019,84.5771144279,15.4228855721,56.7567567568,56.3658838072,58.4210526316,54.2288557214,56.4705882353,41.935483871,0.1404837688,0.1024567372,0.3017502381,1.1080045953,-1.1235353755,0.0698995499,0.0759272618,0.0368443555,1.0847293994,-1.1324532066
0.5,0.0333333333,54.0833333333,45.9166666667,85.1851851852,14.8148148148,89.552238806,10.447761194,55.5555555556,55.3466509988,56.7567567568,53.2338308458,55.5555555556,33.3333333333,0.1127474577,0.0811125979,0.2936394078,1.106948796,-1.1244313378,0.0387603663,0.0543230364,-0.0946339486,1.0757571644,-1.1416508825
0.5,0.0322580645,54.0833333333,45.9166666667,90.3903903904,9.6096096096,94.5273631841,5.4726368159,54.5545545546,54.4850498339,55.2083333333,54.2288557214,55.7894736842,27.2727272727,0.0670626954,0.0511534401,0.2153303942,1.0853052446,-1.1499157899,0.0579372915,0.0616075134,-0.0054574492,1.0736999777,-1.1455206736
0.5,0.03125,54.0833333333,45.9166666667,94.8948948949,5.1051051051,98.0099502488,1.9900497512,53.8538538539,53.9029535865,52.9411764706,55.7213930348,56.345177665,25,0.0505243173,0.0399634228,0.2472468627,1.0840407064,-1.1504083335,0.075904655,0.0685845054,0.4364220212,1.0610626571,-1.163844741
0.5,0.0303030303,54.0833333333,45.9166666667,99.3993993994,0.6006006006,100,0,53.3533533534,53.4743202417,33.3333333333,56.7164179104,56.7164179104,nan,0.020563644,0.0230853614,-0.3976211681,1.0660761408,-1.1701589218,0.0585346243,0.0585346243,0,1.0271344694,-1.2106651728
0.5,0.0294117647,54.0833333333,45.9166666667,100,0,100,0,53.5535535536,53.5535535536,nan,56.7164179104,56.7164179104,nan,0.0253303313,0.0253303313,0,1.0665501122,-1.1700614773,0.0585346243,0.0585346243,0,1.0271344694,-1.2106651728
0.5,0.0285714286,54.0833333333,45.9166666667,100,0,100,0,53.5535535536,53.5535535536,nan,56.7164179104,56.7164179104,nan,0.0253303313,0.0253303313,0,1.0665501122,-1.1700614773,0.0585346243,0.0585346243,0,1.0271344694,-1.2106651728
0.5,0.0277777778,54.0833333333,45.9166666667,100,0,100,0,53.5535535536,53.5535535536,nan,56.7164179104,56.7164179104,nan,0.0253303313,0.0253303313,0,1.0665501122,-1.1700614773,0.0585346243,0.0585346243,0,1.0271344694,-1.2106651728
