'c','gamma','dist_plus_actual','dist_minus_act','pred_plus_train','pred_minus_train','pred_plus_test','pred_minus_test','pred_tain_accuracy_tot','pred_train_acc_plus','pred_train_acc_minus','pre_test_acc_tot','pred_test_acc_plus','pred_test_acc_minus','ret_pt_tot_train','ret_pt_tot_plus','ret_pt_train_minus','ret_pt_cor_train','ret_pt_inc_train','rt_pt_tot_test','rt_pt_plus_test','rt_pt_minus_test','rt_pt_cor_test','ret_pt_inc_test'
470,990.4578032906,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
470,582.6222372298,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
470,342.7189630763,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
470,201.5993900449,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
470,118.587876497,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
470,69.75757441,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
470,41.0338673,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
470,24.137569,52.6473526474,47.3526473526,52.8916929548,47.1083070452,100,0,100,100,100,48,48,nan,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
470,14.19857,52.6473526474,47.3526473526,52.8916929548,47.1083070452,68,32,100,100,100,56,52.9411764706,62.5,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.1608854352,0.2877901732,-0.1087871331,1.0470019567,-0.9668992286
470,8.3521,52.6473526474,47.3526473526,52.8916929548,47.1083070452,62,38,100,100,100,58,54.8387096774,63.1578947368,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.0752845688,0.2466078783,-0.2042429363,0.9371045906,-1.1148478424
470,4.913,52.6473526474,47.3526473526,52.8916929548,47.1083070452,66,34,100,100,100,58,54.5454545455,64.7058823529,1.3018113998,1.3315616157,1.2684088137,1.3018113998,0,0.2838660353,0.3896782088,0.0784659338,1.1169161997,-0.8665365727
470,2.89,52.6473526474,47.3526473526,52.7865404837,47.2134595163,74,26,99.8948475289,100,99.7772828508,50,48.6486486486,53.8461538462,1.3017865158,1.3341905585,1.2655574971,1.3031692725,-0.0118323277,0.1769173567,0.2752882142,-0.1030612376,1.1886741131,-0.8348393996
470,1.7,52.6473526474,47.3526473526,52.9968454259,47.0031545741,74,26,99.0536277603,99.0079365079,99.1051454139,46,45.9459459459,46.1538461538,1.2910975359,1.3188116079,1.2598494547,1.3088409755,-0.5660491435,0.0619199005,0.1975872303,-0.3242101921,1.1670398444,-0.8794785703
470,1,52.6473526474,47.3526473526,53.101997897,46.898002103,66,34,94.5320715037,94.6534653465,94.3946188341,54,51.5151515152,58.8235294118,1.2032968303,1.2335283463,1.1690660779,1.3250044087,-0.9008399572,0.1778544009,0.3093663645,-0.0774335286,1.1014918123,-0.9064156038
470,0.5882352941,52.6473526474,47.3526473526,55.9411146162,44.0588853838,54,46,86.4353312303,85.1503759398,88.0668257757,54,51.8518518519,56.5217391304,1.0507399115,1.0345695489,1.071271255,1.36087366,-0.9254611835,0.1878010889,0.3873243419,-0.0464218602,1.1107017086,-0.8956039864
470,0.3460207612,52.6473526474,47.3526473526,58.5699263933,41.4300736067,68,32,76.2355415352,74.8653500898,78.1725888325,56,52.9411764706,62.5,0.7953040456,0.7700740498,0.8309718315,1.3754184749,-1.0656825085,0.2737677609,0.3707918833,0.0675915009,1.1477897476,-0.8386238585
470,0.2035416243,52.6473526474,47.3526473526,59.8317560463,40.1682439537,88,12,70.3470031546,69.4200351494,71.7277486911,52,50,66.6666666667,0.6514365173,0.6336067418,0.6779944815,1.3882950442,-1.0966427539,0.2333935244,0.2635810936,0.0120180172,1.1972598854,-0.8107950332
470,0.1197303672,52.6473526474,47.3526473526,61.5141955836,38.4858044164,92,8,68.0336487907,67.0085470085,69.6721311475,48,47.8260869565,50,0.6366490833,0.6042577969,0.6884220411,1.4246336317,-1.0404101365,0.1642247649,0.2145293289,-0.4142777216,1.2249807513,-0.8149346072
470,0.0704296278,52.6473526474,47.3526473526,60.4626708728,39.5373291272,82,18,63.8275499474,63.8260869565,63.829787234,46,46.3414634146,44.4444444444,0.4909876228,0.4943109334,0.4859054323,1.40440846,-1.1207753081,0.1852252187,0.253496597,-0.1257888378,1.3010673642,-0.7653069793
470,0.0414291928,52.6473526474,47.3526473526,60.2523659306,39.7476340694,80,20,61.9348054679,62.3036649215,61.3756613757,44,45,40,0.4357000358,0.4501562637,0.41378623,1.4026938669,-1.1376683801,0.1490681783,0.2372358617,-0.2036025549,1.319119244,-0.7702576589
470,0.0243701134,52.6473526474,47.3526473526,65.825446898,34.174553102,90,10,61.8296529968,61.1821086262,63.0769230769,50,48.8888888889,60,0.3999368367,0.3848788146,0.4289409039,1.3761586504,-1.1813811426,0.2145814378,0.2472725767,-0.0796388129,1.2263381941,-0.7971753186
470,0.0143353608,52.6473526474,47.3526473526,67.1924290221,32.8075709779,98,2,61.7245005258,60.8763693271,63.4615384615,50,48.9795918367,100,0.4097108866,0.3843219071,0.4617094695,1.3864205233,-1.165367566,0.2407943677,0.2404610041,0.2571291833,1.252551124,-0.7709623887
470,0.0084325652,52.6473526474,47.3526473526,69.7160883281,30.2839116719,100,0,60.4626708728,59.5776772247,62.5,48,48,nan,0.3565783773,0.3323034547,0.412461272,1.3714162418,-1.195367825,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
470,0.0049603325,52.6473526474,47.3526473526,72.5552050473,27.4447949527,100,0,58.8853838065,58.115942029,60.9195402299,48,48,nan,0.3253870091,0.2978053549,0.3983040259,1.3816657919,-1.187441938,0.2305092003,0.2305092003,0,1.2940270382,-0.7511995731
